"Amount","Currency","Current value in USD","Current value in BTC","Exchange"
"-1416.34949231","GST9","-7.84","-0.00007141","Solana - StepN"
"50.00000000","JUP2","23.02","0.00020962","Solana - StepN"
"7.32931900","MELANIA2","1.49","0.00001356","Solana - StepN"
"19933.00046200","PENGU7","604.60","0.00550522","Solana - StepN"
"0.19800308","SOL2","37.07","0.00033757","Solana - StepN"
"216.45204876","TREMP","3.90","0.00003555","Solana - StepN"
"47.15348900","USDC","47.20","0.00042976","Solana - StepN"
"17152.68587152","WLKN","10.21","0.00009298","Solana - StepN"
"1.09238311","SOL2","204.53","0.00186240","Solana - StepN 2"
"0.11903300","USDC","0.12","0.00000108","Solana - StepN 2"
"1133.35000000","WLKN","0.67","0.00000614","Solana - Walken Elda"
"0.00099008","SOL2","0.19","0.00000169","Solana - Walken Jack"
"2680.90000001","WLKN","1.60","0.00001453","Solana - Walken Jack"
"0.00012529","BTC","13.76","0.00012529","SwissBorg"
"8590.17700000","CHSB","2097.31","0.01909732","SwissBorg"
"1100.14400000","ENJ","72.35","0.00065875","SwissBorg"
"0.00066100","PAXG","2.23","0.00002029","SwissBorg"
"26.93940000","USDC","26.96","0.00024553","SwissBorg"
"11439.00000000","VSX","32.90","0.00029959","Vsync"
