"Ticker";"Name";"Type";"Amount";"Value in USD";"Value in BTC";"% of total";"Price in BTC";"Price in USD";"Trend 1h in %";"Trend 24h in %";"Trend 7d in %";"Trend 30d in %"
"BNKR";"Bankroll Network";"Coin";"10000.00000000";"266.53";"0.00242696";"0.06";"0.000000242696";"0.02665347";"0.00";"0.00";"0.00";"-0.03"
"IOTA2";"IOTA";"Coin";"1380.09100000";"262.21";"0.00238756";"0.06";"0.000001730000";"0.18999287";"-0.94";"-6.45";"-1.07";"-14.00"
"EUR";"Euro";"Currency";"212.98900000";"247.97";"0.00225789";"0.06";"0.000010600953";"1.16422284";"-0.10";"0.57";"-0.01";"0.97"
"LUNA2";"Terra Classic";"Coin";"4249645.90791049";"246.65";"0.00224585";"0.06";"0.000000000528";"0.00005799";"0.04";"-0.52";"-3.23";"-9.22"
"COMP";"Compound";"Coin";"5.72306877";"245.18";"0.00223250";"0.06";"0.000390087133";"42.84033246";"-0.11";"-3.00";"-8.31";"-16.02"
"KAVA";"Kava";"Coin";"669.33313731";"244.78";"0.00222884";"0.06";"0.000003329944";"0.36570268";"-0.29";"-2.70";"-3.12";"-9.38"
"MANA";"Decentraland";"Coin";"872.43426071";"242.04";"0.00220396";"0.06";"0.000002526216";"0.27743528";"-0.26";"-1.99";"-2.55";"-14.69"
"CHZ";"Chiliz";"Coin";"6244.84672857";"241.24";"0.00219668";"0.06";"0.000000351759";"0.03863104";"-0.12";"-1.65";"-3.21";"-12.42"
"LDO";"Lido DAO";"Coin";"180.78448220";"231.15";"0.00210479";"0.05";"0.000011642513";"1.27860953";"-0.15";"-4.11";"-3.21";"12.71"
"SUSHI";"SushiSwap";"Coin";"297.67865683";"222.44";"0.00202548";"0.05";"0.000006804257";"0.74726031";"0.01";"-4.14";"-4.88";"-19.51"
"JMPT";"JMPT Rewards";"Coin";"205.83732978";"219.32";"0.00199707";"0.05";"0.000009702197";"1.06551924";"-0.22";"-0.51";"0.15";"-9.43"
"WLD3";"Worldcoin";"Coin";"237.57690678";"211.05";"0.00192171";"0.05";"0.000008088791";"0.88833101";"-0.20";"-2.77";"-6.31";"-26.45"
"AKT";"Akash Network";"Coin";"179.79650270";"203.61";"0.00185399";"0.05";"0.000010311575";"1.13244264";"-0.09";"-1.35";"-8.09";"-20.55"
"SFP";"SafePal";"Coin";"422.55311164";"187.74";"0.00170950";"0.04";"0.000004045643";"0.44430251";"-0.27";"0.60";"-6.59";"-13.08"
"ZIL";"Zilliqa";"Coin";"16839.14266904";"187.60";"0.00170822";"0.04";"0.000000101444";"0.01114083";"-0.22";"-3.62";"0.47";"-10.33"
"ROSE";"Oasis";"Coin";"7406.38888713";"186.78";"0.00170072";"0.04";"0.000000229629";"0.02521842";"-0.98";"-0.71";"-8.41";"-12.13"
"EWT";"Energy Web Token";"Coin";"147.31244333";"186.60";"0.00169908";"0.04";"0.000011533860";"1.26667699";"1.26";"-1.12";"-1.39";"-29.72"
"DOGI3";"dogi";"Coin";"100.00000000";"184.99";"0.00168446";"0.04";"0.000016844646";"1.84992063";"0.00";"0.67";"0.46";"1793.06"
"ANKR";"Ankr";"Coin";"12112.48764090";"179.59";"0.00163529";"0.04";"0.000000135009";"0.01482702";"-0.39";"-1.75";"-5.19";"-16.09"
"RIF";"Rootstock Infrastructure Framewo";"Coin";"3042.43659163";"168.30";"0.00153249";"0.04";"0.000000503705";"0.05531813";"-0.36";"-2.14";"-2.68";"-13.36"
"XVG";"Verge";"Coin";"27290.25001963";"158.35";"0.00144187";"0.04";"0.000000052835";"0.00580247";"-0.77";"-2.65";"-10.78";"-21.10"
"REN";"Ren";"Coin";"17179.38598103";"155.04";"0.00141171";"0.04";"0.000000082175";"0.00902466";"-0.14";"-2.77";"-4.34";"-8.86"
"ICP2";"Internet Computer";"Coin";"30.99365011";"153.19";"0.00139490";"0.04";"0.000045006084";"4.94267931";"-0.10";"-1.80";"-6.03";"-14.29"
"YFI";"yearn.finance";"Coin";"0.02790371";"151.32";"0.00137787";"0.04";"0.049379290137";"5422.95560969";"-0.16";"-2.60";"-2.57";"-4.97"
"ATR";"Artrade";"Coin";"13082.74257338";"151.03";"0.00137522";"0.04";"0.000000105117";"0.01154421";"-0.25";"-1.14";"-5.14";"-7.62"
"SAND";"The Sandbox";"Coin";"549.53420327";"149.88";"0.00136475";"0.04";"0.000002483468";"0.27274059";"0.00";"-3.16";"-4.07";"-14.41"
"LRC";"Loopring";"Coin";"1788.22880393";"149.66";"0.00136278";"0.04";"0.000000762084";"0.08369395";"-0.76";"-3.38";"-8.90";"-10.36"
"ENA";"Ethena";"Coin";"235.82613370";"147.34";"0.00134160";"0.03";"0.000005688931";"0.62477245";"-0.68";"-1.34";"-5.18";"-5.93"
"HEI2";"Heima";"Coin";"323.85063334";"145.56";"0.00132540";"0.03";"0.000004092614";"0.44946098";"-1.14";"-3.83";"2.37";"8.19"
"LCX";"LCX";"Coin";"911.74553660";"142.21";"0.00129492";"0.03";"0.000001420259";"0.15597635";"-1.16";"2.12";"25.26";"28.90"
"GMT5";"GMT";"Coin";"3468.46588037";"136.09";"0.00123916";"0.03";"0.000000357265";"0.03923572";"-0.37";"-1.89";"-7.89";"-23.43"
"KNC";"Kyber Network Crystal v2";"Coin";"363.00077436";"135.68";"0.00123544";"0.03";"0.000003403416";"0.37377155";"-0.26";"-3.05";"-6.15";"-15.39"
"JUP2";"Jupiter";"Coin";"290.49725369";"133.75";"0.00121787";"0.03";"0.000004192374";"0.46041687";"-0.06";"-4.12";"-7.90";"-21.43"
"FIL";"Filecoin";"Coin";"56.41430461";"127.78";"0.00116350";"0.03";"0.000020624278";"2.26500915";"0.30";"-0.63";"-7.07";"-17.05"
"TIA3";"Celestia";"Coin";"76.70728800";"124.34";"0.00113215";"0.03";"0.000014759412";"1.62091508";"-0.49";"-4.16";"-6.74";"-20.95"
"VTHO";"VeThor Token";"Coin";"68130.90429362";"123.99";"0.00112904";"0.03";"0.000000016572";"0.00181998";"-0.13";"-2.92";"-3.57";"-14.82"
"IMX2";"Immutable";"Coin";"227.86102458";"119.18";"0.00108521";"0.03";"0.000004762584";"0.52303874";"-0.54";"-3.58";"-5.80";"-12.44"
